NAME  	TAG   	LINE  	
int   	basic 	1
main  	string	1
main  	string	1
main  	string	1
int   	basic 	3
i     	string	3
int   	basic 	3
j     	string	3
j     	string	3
float 	float 	4
v     	string	4
float 	float 	4
x     	string	4
float 	float 	4
float 	float 	4
100   	int   	4
a     	string	4
a     	string	4
while 	string	5
true  	string	5
true  	string	5
do    	string	6
i     	string	6
=     	ass   	6
i     	string	6
+     	add   	6
while 	string	6
a     	string	6
a     	string	6
i     	string	6
i     	string	6
<     	le    	6
v     	string	6
v     	string	6
do    	string	7
j     	string	7
=     	ass   	7
j     	string	7
-     	sub   	7
while 	string	7
a     	string	7
a     	string	7
j     	string	7
j     	string	7
>     	ge    	7
v     	string	7
v     	string	7
if    	if    	8
i     	string	8
>=    	gee   	8
j     	string	8
j     	string	8
break 	string	9
break 	string	9
x     	string	10
=     	ass   	10
a     	string	10
a     	string	10
i     	string	10
i     	string	10
i     	string	10
a     	string	11
a     	string	11
i     	string	11
i     	string	11
=     	ass   	11
a     	string	11
a     	string	11
j     	string	11
j     	string	11
j     	string	11
a     	string	12
a     	string	12
j     	string	12
j     	string	12
